"Which is the best gender-neutral replacement for 'fireman' in modern English?","Multiple Choice","fire worker","firefighter","fireman","fire lady","",2,30,,
"Which is the best gender-neutral replacement for 'policeman'?","Multiple Choice","policeman","police guy","lawman","police officer","",4,30,,
"Which is the best gender-neutral replacement for 'waitress'?","Multiple Choice","table girl","server","food lady","waiteress","",2,30,,
"Which is the best gender-neutral replacement for 'mailman'?","Multiple Choice","mailboy","mailman","mail carrier","letter guy","",3,30,,
"Which is the best gender-neutral replacement for 'businessman'?","Multiple Choice","businessman","businessperson","companyman","office man","",2,30,,
"Which is the best gender-neutral replacement for 'stewardess'?","Multiple Choice","airline lady","cabin sister","flight attendant","sky girl","",3,30,,
"Which is the best gender-neutral replacement for 'actress'?","Multiple Choice","actor","actress lady","drama girl","movie woman","",1,30,,
"Which is the best gender-neutral replacement for 'housewife'?","Multiple Choice","stay-at-home parent","housewoman","mother-worker","lady of the house","",1,30,,
"Which is the best gender-neutral term for a 'Buddhist monk or Buddhist nun' in English?","Multiple Choice","Buddhist man","Buddhist lady","temple wife","Buddhist monastic","",4,30,,
"On a school form, which label is the most inclusive instead of 'Mother/Father'?","Multiple Choice","Mom/Dad only","Father or Husband","Parent/guardian","Female or Male","",3,30,,
"Type one gender-neutral word you can use instead of 'husband' or 'wife'.","Fill-in-the-Blank","spouse","partner","","","",,30,,
"Type one gender-neutral word you can use instead of 'boyfriend' or 'girlfriend'.","Fill-in-the-Blank","partner","significant other","","","",,30,,
"Type one gender-neutral word you can use instead of 'mother' or 'father'.","Fill-in-the-Blank","parent","caregiver","guardian","","",,30,,
"Type one gender-neutral word for 'brother' or 'sister'.","Fill-in-the-Blank","sibling","","","","",,30,,
"Type one gender-neutral word for 'uncle' or 'aunt'.","Fill-in-the-Blank","parent's sibling","relative","pibling","","",,30,,
"Type one gender-neutral term for 'nephew' or 'niece'.","Fill-in-the-Blank","sibling's child","nibling","","","",,30,,
"Type a gender-neutral word for 'godfather' or 'godmother'.","Fill-in-the-Blank","godparent","","","","",,30,,
"Type one gender-neutral term for 'bridesmaid' or 'groomsman'.","Fill-in-the-Blank","wedding attendant","honor attendant","","","",,30,,
"Type one gender-neutral alternative to 'ladies and gentlemen' when speaking to a crowd.","Fill-in-the-Blank","everyone","honored guests","friends","guests","",,30,,
"Type one gender-neutral alternative to 'mankind'.","Fill-in-the-Blank","humankind","humanity","human beings","","",,30,,
"Rewrite this sentence using gender-neutral language: 'The chairman will give his opinion.'","Fill-in-the-Blank","The chair will give their opinion.","The chairperson will share their view.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'Ladies and gentlemen, welcome to the show.'","Fill-in-the-Blank","Everyone, welcome to the show.","Welcome, everyone.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'The policeman told every boy and girl to sit down.'","Fill-in-the-Blank","The police officer told all the students to sit down.","The police officer told the children to sit down.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'Each student must ask his father or mother to sign this form.'","Fill-in-the-Blank","Each student must ask a parent or guardian to sign this form.","Each student must ask their parent or guardian to sign this form.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'The firemen and policemen arrived quickly.'","Fill-in-the-Blank","The firefighters and police officers arrived quickly.","","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'My aunt and uncle are coming; they are my favorite relatives.'","Fill-in-the-Blank","My relatives are coming; they are my favorite relatives.","My parents' siblings are coming; they are my favorite relatives.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'The stewardess thanked the ladies and gentlemen for flying with us.'","Fill-in-the-Blank","The flight attendant thanked everyone for flying with us.","","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'The headmaster told the workmen to fix the door.'","Fill-in-the-Blank","The principal told the workers to fix the door.","The principal told the maintenance crew to fix the door.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'Her boyfriend is a strong businessman.'","Fill-in-the-Blank","Her partner is a successful businessperson.","Her partner runs a successful business.","","","",,45,,
"Rewrite this sentence using gender-neutral language: 'Every housewife and working mother was invited.'","Fill-in-the-Blank","Every stay-at-home parent and working parent was invited.","Every parent was invited.","","","",,45,,
"You are writing a business email to a mixed group of colleagues. Instead of starting with 'Dear Sirs' or 'Hi guys', what is a more inclusive opening?","Fill-in-the-Blank","Hi everyone,","Hello everyone,","Dear colleagues,","","",,60,,
"A school registration form has two lines labeled 'Mother' and 'Father'. You want to make it more inclusive. What labels could you use instead?","Fill-in-the-Blank","Parent/Guardian 1 and Parent/Guardian 2","Parent/Guardian One and Parent/Guardian Two","","","",,60,,
"You are leading a college orientation for new students. Instead of saying 'Hey guys, follow me', what inclusive phrase could you use to address the group?","Fill-in-the-Blank","Hi everyone, follow me.","Hi folks, follow me.","Hi all, follow me.","","",,60,,
"An HR manager is rewriting a job ad that currently says 'We need a handyman to fix small problems in the office.' What neutral job title could they use?","Fill-in-the-Blank","We need a maintenance worker to fix small problems in the office.","We need a maintenance technician to fix small problems in the office.","We need a repair technician to fix small problems in the office.","","",,60,,
"A university brochure uses the word 'freshman' repeatedly. What more gender-neutral term could replace it?","Fill-in-the-Blank","first-year student","first year student","first-year students","first year students","",,60,,
"A religious education survey asks, 'Do you have a godfather or godmother?' How could you rewrite this to be more gender-neutral?","Fill-in-the-Blank","Do you have a godparent?","Do you have any godparents?","","","",,60,,
"At a business conference, a sign reads 'Information for businessmen'. How could you rewrite it to be more inclusive?","Fill-in-the-Blank","Information for businesspeople","Information for business owners and professionals","","","",,60,,
"You are printing name cards for a committee meeting. One card says 'Committee Chairman'. What gender-neutral title could you print instead?","Fill-in-the-Blank","Committee Chair","Committee Chairperson","","","",,60,,
"A community center is advertising an event 'for working mothers'. How can they rephrase this to include all working parents?","Fill-in-the-Blank","An event for working parents","An event for all working parents","","","",,60,,
"An airline safety script currently says 'Our stewardesses and hostesses are here to help you.' How could you update this to inclusive language?","Fill-in-the-Blank","Our flight attendants and hosts are here to help you.","Our flight attendants are here to help you.","","","",,60,,
"'Police officer' is a gender-neutral alternative to 'policeman'.","Multiple Choice","True","False","","","",1,20,,
"'Ladies and gentlemen' is usually the most inclusive way to address a mixed-gender audience in modern English.","Multiple Choice","True","False","","","",2,20,,
"'Businessman' is more gender-neutral than 'businessperson'.","Multiple Choice","True","False","","","",2,20,,
"'Parent' can be used as a gender-neutral alternative to 'mother' or 'father'.","Multiple Choice","True","False","","","",1,20,,
"'Flight attendant' is a gender-neutral alternative to 'stewardess'.","Multiple Choice","True","False","","","",1,20,,
"'Mankind' is usually preferred over 'humankind' in inclusive language.","Multiple Choice","True","False","","","",2,20,,
"'Buddhist monastic' can be used for both monks and nuns in English.","Multiple Choice","True","False","","","",1,20,,
"'Housewife' is a neutral term that works for all parents who stay at home.","Multiple Choice","True","False","","","",2,20,,
"'Sibling' is a gender-neutral alternative to 'brother' or 'sister'.","Multiple Choice","True","False","","","",1,20,,
"Using 'everyone' instead of 'ladies and gentlemen' can make a welcome more inclusive.","Multiple Choice","True","False","","","",1,20,,
